group,path,w,h,canvas,opaque,unique_colors,colors_per_sqrt,pixels_per_color,exact_clusters,exact_mean_cluster,exact_median_cluster,exact_speckle_ratio,exact_readable_clusters,q32_clusters,q32_mean_cluster,q32_median_cluster,q32_speckle_ratio,q32_readable_clusters,q32_colors,q32_colors_per_sqrt,q32_pixels_per_color
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/quench_long.png,64,32,2048,1969,10,0.22536015980024166,196.9,104,18.932692307692307,5.0,0.3557692307692308,63,100,19.69,5.0,0.33,63,10,0.22536015980024166,196.9
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/quench_trough.png,60,38,2280,1771,10,0.23762422826087873,177.1,179,9.893854748603353,4.0,0.3128491620111732,104,179,9.893854748603353,4.0,0.3128491620111732,104,10,0.23762422826087873,177.1
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/tongs_tool.png,36,27,972,540,4,0.17213259316477408,135.0,65,8.307692307692308,2.0,0.6307692307692307,15,65,8.307692307692308,2.0,0.6307692307692307,15,4,0.17213259316477408,135.0
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/tool_rack_tall.png,61,92,5612,4039,15,0.23602300339840032,269.26666666666665,840,4.808333333333334,2.0,0.6285714285714286,222,831,4.860409145607702,2.0,0.6221419975932612,224,14,0.22028813650517362,288.5
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/workbench_b.png,63,57,3591,2307,14,0.29147696474957885,164.78571428571428,270,8.544444444444444,2.0,0.5592592592592592,104,270,8.544444444444444,2.0,0.5592592592592592,104,14,0.29147696474957885,164.78571428571428
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/workbench_tools.png,61,62,3782,3630,7,0.11618357280412614,518.5714285714286,122,29.75409836065574,8.0,0.32786885245901637,73,122,29.75409836065574,8.0,0.32786885245901637,73,7,0.11618357280412614,518.5714285714286
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/barrel_0.png,28,38,1064,914,11,0.36384766091059234,83.0909090909091,216,4.231481481481482,2.0,0.5925925925925926,57,216,4.231481481481482,2.0,0.5925925925925926,57,11,0.36384766091059234,83.0909090909091
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/door_wood.png,32,64,2048,1536,10,0.2551551815399144,153.6,128,12.0,3.5,0.484375,64,123,12.487804878048781,4.0,0.45528455284552843,66,10,0.2551551815399144,153.6
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/window_house.png,64,64,4096,2168,6,0.12886103387626732,361.3333333333333,106,20.452830188679247,16.0,0.11320754716981132,92,106,20.452830188679247,16.0,0.11320754716981132,92,6,0.12886103387626732,361.3333333333333
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/sign_sword.png,32,32,1024,576,9,0.375,64.0,52,11.076923076923077,1.0,0.6730769230769231,16,52,11.076923076923077,1.0,0.6730769230769231,16,9,0.375,64.0
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/wall_brick_fill.png,32,32,1024,1024,3,0.09375,341.3333333333333,12,85.33333333333333,21.0,0.0,12,12,85.33333333333333,21.0,0.0,12,3,0.09375,341.3333333333333
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/floor_cobble.png,32,32,1024,1024,3,0.09375,341.3333333333333,70,14.628571428571428,8.0,0.14285714285714285,56,70,14.628571428571428,8.0,0.14285714285714285,56,3,0.09375,341.3333333333333
lpc_slice,art_style_demo/shared/imported/lpc_base_assets/slices/beam_wood.png,32,32,1024,1024,3,0.09375,341.3333333333333,15,68.26666666666667,36.0,0.0,15,15,68.26666666666667,36.0,0.0,15,3,0.09375,341.3333333333333
experiment,art_style_demo/07_hd2d/experiment/out/pipeline_a/anvil_from_prompt.png,64,48,3072,3072,12,0.21650635094610968,256.0,294,10.448979591836734,2.0,0.5340136054421769,106,294,10.448979591836734,2.0,0.5340136054421769,106,12,0.21650635094610968,256.0
experiment,art_style_demo/07_hd2d/experiment/out/pipeline_a/hammer_from_prompt.png,48,48,2304,2304,10,0.20833333333333334,230.4,114,20.210526315789473,2.0,0.5526315789473685,44,114,20.210526315789473,2.0,0.5526315789473685,44,10,0.20833333333333334,230.4
experiment,art_style_demo/07_hd2d/experiment/out/pipeline_a/street_from_demo_a.png,320,180,57600,57600,32,0.13333333333333333,1800.0,13561,4.247474375046088,1.0,0.7273799867266426,2626,13561,4.247474375046088,1.0,0.7273799867266426,2626,32,0.13333333333333333,1800.0
experiment,art_style_demo/07_hd2d/experiment/out/pipeline_a/workshop_from_demo_a.png,320,180,57600,57600,32,0.13333333333333333,1800.0,13653,4.218852999340804,1.0,0.7259210429942137,2647,13653,4.218852999340804,1.0,0.7259210429942137,2647,32,0.13333333333333333,1800.0
experiment,art_style_demo/07_hd2d/experiment/out/pipeline_a/workshop_from_demo_a_48c.png,384,256,98304,98304,48,0.15309310892394865,2048.0,29418,3.3416275749541096,1.0,0.7586851587463458,4988,24278,4.049097948760195,1.0,0.7321031386440399,4663,32,0.10206207261596577,3072.0
experiment,art_style_demo/07_hd2d/experiment/out/pipeline_b/anvil.png,64,48,3072,1001,8,0.2528558164964056,125.125,15,66.73333333333333,48.0,0.0,15,15,66.73333333333333,48.0,0.0,15,8,0.2528558164964056,125.125
